"732f3856","Nephtan","2025-08-24T11:13:49-05:00","Update CityManagementGump.cs"
"ccc6d183","Nephtan","2025-08-24T11:13:16-05:00","Update CityManagementStone.cs"
"ff82bcaf","Nephtan","2025-08-24T10:09:28-05:00","Update AGENT.md"
"0c7188b3","Nephtan","2025-08-24T10:03:57-05:00","Create AGENT.md"
"c0daeb20","Nephtan","2025-08-24T08:59:17-05:00","Merge pull request #21 from Nephtan/test"
"6d4bc77d","Nephtan","2025-08-24T08:58:18-05:00","Merge branch 'main' into test"
"118c9535","Nephtan","2025-08-23T18:05:48-05:00","Better feedback when placing addons in houses"
"af95d9ac","Nephtan","2025-08-23T16:24:36-05:00","Update RunebookLogging.cs"
"b5306f69","Nephtan","2025-08-23T16:06:44-05:00","Update BaseHouse.cs"
"2ed6d618","Nephtan","2025-08-23T16:05:07-05:00","Revert "Update BaseHouse.cs""
"a85fee84","Nephtan","2025-08-23T16:00:18-05:00","Update BaseHouse.cs"
"1450cec1","Nephtan","2025-08-23T15:56:02-05:00","Update MagicHammer.cs"
"ee17dad6","Nephtan","2025-08-23T14:58:53-05:00","Update MuseumBook.cs"
"78dbfa55","Nephtan","2025-08-23T14:50:31-05:00","Runebook Activity Logging"
"caf57db8","Nephtan","2025-08-23T14:31:09-05:00","Update BaseVendor.cs"
"b4dba3f6","Nephtan","2025-08-23T13:14:43-05:00","Removed redundant map files."
"9584ef64","Nephtan","2025-08-22T18:12:56-05:00","Update XmlSpawner2.cs"
"9e8cdadd","Nephtan","2025-08-22T18:11:34-05:00","Fix for GuildMasters not updating the list of what they buy"
"8d3d6681","Nephtan","2025-08-22T17:12:44-05:00","Merge pull request #20 from Nephtan/test"
"9034401a","Nephtan","2025-08-22T17:12:23-05:00","Merge branch 'main' into test"
"702e3fee","Nephtan","2025-08-15T14:40:53-05:00","Update SpellBarsManage.cs"
"545ddaab","Nephtan","2025-08-15T13:02:11-05:00","Merge pull request #19 from Nephtan/test"
"69b9de73","Nephtan","2025-08-15T13:00:42-05:00","fix quest tome null reference"
"b740c3d5","Nephtan","2025-08-15T12:49:22-05:00","Dio's Freezes - First Draft"
"d08952f4","Nephtan","2025-08-15T12:23:16-05:00","Feat: Add animal transformation stones for testing"
"a9602a70","Nephtan","2025-08-15T12:14:33-05:00","Fix: Prevent IndexOutOfRangeException in elemental spell power calculation"
"2947d32b","Nephtan","2025-08-15T12:13:01-05:00","Fix: Allow players to reset the auto-loot bag"
"574c8d79","Nephtan","2025-08-15T12:10:05-05:00","Fix: Prevent NullReferenceException in Spell Bars"
"0f5ab9d2","Nephtan","2025-08-15T12:08:30-05:00","Fix: Ensure server terminates after crash and restart"
"686618ce","Nephtan","2025-08-15T12:03:54-05:00","Simplify and correct item upgrade logic"
"c2c20904","Nephtan","2025-05-07T21:15:58-05:00","Fix: Prevent NullReferenceException in ResearchRockFlesh"
"0d63f767","Nephtan","2025-03-23T10:40:42-05:00","Update Scripts.csproj"
"057469b3","Nephtan","2025-03-23T10:38:26-05:00","House Remodeling Remove Item Confirmation"
"aaa9f6b2","Nephtan","2025-03-23T08:26:34-05:00","Update LawnGump.cs"
"8c4a18ef","Nephtan","2025-03-10T16:42:04-05:00","Fix NullReferenceException in GetToolBarSetting method"
"9a457808","Nephtan","2024-11-03T18:16:36-06:00","Sync Actual with Main Branch"
"490d027a","Nephtan","2024-04-21T11:50:01-05:00","Update StudyBook.cs"
"acd7e219","Nephtan","2024-06-05T22:36:15-05:00","Enabled Ninjitsu Abilities During Animal Form"
"10811b9b","Nephtan","2024-06-05T22:31:48-05:00","Fixed Missing Sale Items in StoreSalesLists.cs"
"ade63a6a","Nephtan","2024-06-05T22:26:10-05:00","Updated QuiverOfInfinity.cs with Adjusted Attribute Values"
"c8e42e3a","Nephtan","2024-06-05T22:24:31-05:00","Updated LawnGump.cs with Enhanced Validation and Error Messaging"
"2af46c8e","Nephtan","2024-04-01T13:04:58-05:00","Updated VS Solution and Scripts Project"
"96def6a3","Nephtan","2024-03-30T11:35:58-05:00","Added .log to gitignore, updated server exe, cleanup."
"5c5be64f","Nephtan","2024-03-30T11:24:53-05:00","Create .gitignore"
"3ac0b257","Nephtan","2024-03-30T11:13:42-05:00","Update RandomThings.cs"
"e7bf2b12","Nephtan","2024-03-30T11:13:26-05:00","Updated VS Project Files"
"ecc5273c","Nephtan","2024-03-30T11:12:53-05:00","Removing VS folders"
"1622f136","Nephtan","2024-03-30T11:13:42-05:00","Update RandomThings.cs"
"025f69e8","Nephtan","2024-03-30T11:13:26-05:00","Updated VS Project Files"
"889169fb","Nephtan","2024-03-30T11:12:53-05:00","Removing VS folders"
"5fb476fa","Nephtan","2024-03-29T16:06:14-05:00","Created Visual Studio Solution and Project files"
"35003086","Nephtan","2024-03-27T09:08:51-05:00","TownHouses System Update"
"39c40884","Nephtan","2024-03-27T09:08:32-05:00","Update CookableFood.cs"
"c57ab848","Nephtan","2024-03-20T20:34:53-05:00","Update BaseCreature.cs"
"781e799b","Nephtan","2024-03-20T20:29:47-05:00","Update CityManager.cs"
"d2256120","Nephtan","2024-03-20T11:28:47-05:00","Update MonsterSplatter.cs"
